shop_name,address,tel,genre_name,zip_code,offical_page
幸楽苑　足利店,栃木県 足利市 上渋垂町字伊勢宮364-1,0284-70-5620,ラーメン・餃子,326-0335,https://www.kourakuen.co.jp/
幸楽苑　泉ヶ丘店,栃木県 宇都宮市 泉が丘2500-5,028-663-1901,ラーメン・餃子,321-0952,https://www.kourakuen.co.jp/
幸楽苑    宇都宮テクノポリス店,栃木県 宇都宮市 ゆいの杜5-26-20,028-670-0302,ラーメン・餃子,321-3222,https://www.kourakuen.co.jp/
幸楽苑　大田原店,栃木県 大田原市 浅香1-3-41,0287-24-6010,ラーメン・餃子,324-0043,https://www.kourakuen.co.jp/
幸楽苑    小山駅南店,栃木県 小山市 駅南町2-27-2,0285-28-4166,ラーメン・餃子,323-0822,https://www.kourakuen.co.jp/
幸楽苑　鹿沼店,栃木県 鹿沼市 栄町2-15-6,0289-60-5145,ラーメン・餃子,322-0028,https://www.kourakuen.co.jp/
幸楽苑　上戸祭店,栃木県 宇都宮市 上戸祭296-1,028-623-5352,ラーメン・餃子,320-0058,https://www.kourakuen.co.jp/
幸楽苑　黒磯店,栃木県 那須塩原市 共墾社1-2-17,0287-73-2023,ラーメン・餃子,325-0027,https://www.kourakuen.co.jp/
幸楽苑　さくら氏家店,栃木県 さくら市 卯の里1-13-13,028-681-6016,ラーメン・餃子,329-1323,https://www.kourakuen.co.jp/
幸楽苑    雀の宮店,栃木県 宇都宮市 宮の内3-186-11,028-688-1026,ラーメン・餃子,321-0131,https://www.kourakuen.co.jp/
幸楽苑　鶴田店,栃木県 宇都宮市 鶴田町1419-1,028-648-8162,ラーメン・餃子,320-0851,https://www.kourakuen.co.jp/
幸楽苑　栃木小金井店,栃木県 下野市 川中子3329-232,0285-40-0357,ラーメン・餃子,329-0415,https://www.kourakuen.co.jp/
幸楽苑　栃木城内店,栃木県 栃木市 城内町2-23-35,0282-20-8131,ラーメン・餃子,328-0033,https://www.kourakuen.co.jp/
幸楽苑　栃木店,栃木県 栃木市 箱森町43-5,0282-23-6516,ラーメン・餃子,328-0075,https://www.kourakuen.co.jp/
幸楽苑　西川田店,栃木県 宇都宮市 西川田町41-7,028-684-1876,ラーメン・餃子,321-0151,https://www.kourakuen.co.jp/
幸楽苑　西那須野店,栃木県 那須塩原市 西三島3-183-18,0287-39-6008,ラーメン・餃子,329-2756,https://www.kourakuen.co.jp/
幸楽苑　日光今市店,栃木県 日光市 今市1177,0288-30-1318,ラーメン・餃子,321-1261,https://www.kourakuen.co.jp/
幸楽苑　平松店,栃木県 宇都宮市 平松本町1125-3,028-636-0850,ラーメン・餃子,321-0932,https://www.kourakuen.co.jp/
幸楽苑　壬生店,栃木県 下都賀郡壬生町 緑町4-785-2,0282-86-4055,ラーメン・餃子,321-0204,https://www.kourakuen.co.jp/
幸楽苑　御幸ヶ原店,栃木県 宇都宮市 御幸ケ原町60-1,028-664-2251,ラーメン・餃子,321-0982,https://www.kourakuen.co.jp/
幸楽苑　真岡店,栃木県 真岡市 大谷新町16-1,0285-80-7177,ラーメン・餃子,321-4332,https://www.kourakuen.co.jp/
相合傘とイチゴちゃん,栃木県 宇都宮市 東横田町64-2,028-678-5883,カフェ・スイーツ,321-0116,https://ichigo-chan-bakery.com/
会茶,栃木県 小山市 駅東通り3-34-27,0285-22-8822,カフェ・スイーツ,323-0022,
相席リゾートダイニングBALI'S,栃木県 宇都宮市 江野町7-9,028-688-0339,アジア・エスニック・各国料理,320-0802,https://balis.pine-hills.net/
逢初寿し,栃木県 宇都宮市 二荒町1-14,028-633-1507,和食・寿司,320-0804,https://aisomezushi.com/menu
相田みつをゆかりの店　めん割烹なか川,栃木県 足利市 通2-2659,0284-41-2322,うどん・そば・丼,326-0814,
愛満洲,栃木県 宇都宮市 睦町5-5トライアル1F,028-638-7787,中華料理,320-0865,
藍屋　宇都宮今泉店,栃木県 宇都宮市 元今泉3-3-15,028-638-8931,ファミリーレストラン・食堂,321-0954,https://www.skylark.co.jp/
ISLAND STONE COFFEE ROASTERS,栃木県 宇都宮市 大谷町1172,028-688-0467,カフェ・スイーツ,321-0345,https://iscr.jp/
あおい亭四季,栃木県 矢板市 富田300-2,0287-43-3732,洋食,329-2145,
葵本店,栃木県 宇都宮市 中央5-1-12,028-666-6456,居酒屋,320-0806,
あおぞら珈琲,栃木県 宇都宮市 吉野1-4-3,050-3709-1993,カフェ・スイーツ,320-0838,https://aozoracoffee.xyz
青竹手打ちラーメンおおき屋,栃木県 宇都宮市 宮本町7-7,028-659-1888,ラーメン・餃子,321-0163,
青竹手打ちラーメン　義信,栃木県 足利市 今福町366-1,0284-22-2270,ラーメン・餃子,326-0842,
青竹手打ち拉麺あさみ,栃木県 栃木市 湊町4-14,0282-25-6492,ラーメン・餃子,328-0045,https://instagram.com/asami.ra_men?igshid=ubbwhbizslvd
青竹手打ちらーめん弐現,栃木県 栃木市 岩舟町静3042,0282-21-8555,ラーメン・餃子,329-4307,https://localplace.jp/t200493674/
青竹手打ちラーメン麺屋貴,栃木県 佐野市 赤坂町960-28,0283-21-5007,ラーメン・餃子,327-0004,
煽り味噌らーめん正宗,栃木県 宇都宮市 ゆいの杜3-3-40,028-307-9533,ラーメン・餃子,321-3226,
赤から　大田原店,栃木県 大田原市 浅香3-3711-4,0287-23-3334,焼肉・ホルモン・韓国料理,324-0043,https://www.horiifood.co.jp/
赤から　小山店,栃木県 小山市 城北6-1-3,0285-30-6361,焼肉・ホルモン・韓国料理,323-0029,https://www.horiifood.co.jp/
赤から　佐野店,栃木県 佐野市 富岡町340-5,0283-86-9730,焼肉・ホルモン・韓国料理,327-0844,https://www.horiifood.co.jp/
赤から宇都宮競輪場通り店,栃木県 宇都宮市 下戸祭2-20-5,028-621-5005,居酒屋,320-0055,http://www.akakara.jp/restaurant/
赤から宇都宮下栗店,栃木県 宇都宮市 下栗町2916-1,028-635-5678,居酒屋,321-0923,http://www.akakara.jp/restaurant/
あかつきや,栃木県 宇都宮市 馬場通り4-2-12,028-622-1300,うどん・そば・丼,320-0026,
茜屋すしぎん　平出店,栃木県 宇都宮市 平出町1217-3,028-661-4401,和食・寿司,321-0901,
灯屋　宇都宮駅東店,栃木県 宇都宮市 東宿郷2-4-1 ﾎﾃﾙﾏｲｽﾃｲｽﾞ宇都宮3F,028-666-8598,和食・寿司,321-0953,
赤煉瓦,栃木県 宇都宮市 御幸ケ原町88-4,028-662-0860,洋食,321-0982,http://www.uic-group.jp/akarenga/
あきしの,栃木県 那須塩原市 若葉町2-66,0287-62-5690,居酒屋,325-0047,
秋田眞壁屋うどん,栃木県 宇都宮市 宮園町5-4 東武宇都宮百貨店2F西口ｺﾝｺｰｽ,028-639-6170,うどん・そば・丼,320-8560,
阿Q黒磯店,栃木県 那須塩原市 島方545-21,0287-65-3444,中華料理,329-3152,
あくび,栃木県 那須塩原市 材木町1-1,0287-79-9763,居酒屋,325-0048,https://chus-nasu.com
あけみ鮨,栃木県 足利市 朝倉町2-12-9,0284-73-0766,和食・寿司,326-0823,
